"Year","District","Trespass","Theft","Battery","Narcotics","Assualt","Robbery","OtherOffense","Deceptive","CriminalDmg","Burglary","SexOffense","Weapons","Kidnapping","Interference","SexAssualt","VehicleTheft","Prostitution","Arson","PublicPeace","ChildrenOffense","Liquor","Intimidation","Stalking","Gambling","NonCriminal","Obscenity","PublicIndecency","Narcotic","Homicide","CCViolation","Trafficking","Ritualism","Domestic","Total"
2014,"District 9",319,2782,2573,1239,858,472,768,609,1688,823,59,160,17,75,56,585,20,38,169,119,23,3,7,9,2,3,0,0,26,0,0,0,0,13502
2014,"District 2",377,2513,2208,867,817,610,704,695,1114,604,31,117,5,28,51,483,16,5,94,109,2,4,5,6,0,2,0,0,16,0,0,0,0,11483
2014,"District 19",422,4366,1521,669,466,386,532,1013,1289,724,60,33,2,18,67,370,10,17,96,56,46,6,2,1,5,1,3,2,6,1,0,0,0,12190
2014,"District 1",697,5373,1262,272,492,272,399,1518,562,168,40,27,1,21,42,210,23,2,107,30,12,4,16,1,2,0,2,1,1,1,0,0,0,11558
2014,"District 15",381,1457,2642,3176,825,512,753,434,1008,373,29,157,11,115,55,445,119,13,169,93,8,5,4,74,0,0,0,0,32,2,0,0,0,12892
2014,"District 11",299,2101,3619,6737,1133,760,1078,650,1319,547,42,233,5,222,94,577,541,27,224,140,15,8,7,85,0,3,0,2,53,3,0,0,0,20524
2014,"District 22",252,1975,1474,711,603,303,652,570,930,495,43,117,19,38,34,336,4,6,75,110,2,3,4,6,0,3,0,0,16,0,0,0,0,8781
2014,"District 14",207,3149,1496,318,452,339,450,477,1069,745,42,43,4,18,47,412,10,8,43,71,33,1,5,0,0,1,0,0,5,0,0,0,0,9445
2014,"District 31",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2014,"District 21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"District 13",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,"District 23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"District 8",696,6357,5397,2092,1987,1117,2150,1010,4923,2125,154,274,34,23,94,1908,431,68,211,181,44,16,15,62,0,1,0,0,27,0,0,0,0,31397
2004,"District 10",522,3252,4180,3885,1238,647,1346,264,2098,672,68,219,13,26,64,1044,272,44,177,136,95,17,6,40,0,0,0,0,41,0,0,0,0,20366
2004,"District 12",1161,6900,3855,2208,1318,684,1132,618,2700,1027,79,204,9,22,47,1394,470,34,126,91,65,19,11,28,0,1,2,0,21,0,0,0,0,24226
2004,"District 18",1397,7416,2645,1183,759,492,810,1337,1626,785,55,92,10,30,38,571,682,6,103,61,39,10,4,9,0,0,2,0,8,0,0,0,0,20170
2004,"District 7",592,3358,7406,4544,2306,1004,1580,415,2988,1471,97,416,29,59,143,1239,489,58,115,161,39,27,8,145,0,0,0,0,46,0,0,0,0,28735
2004,"District 25",606,5225,4664,3075,1561,939,1843,556,3232,1718,123,310,40,35,88,1662,736,87,158,158,64,21,13,41,0,1,2,1,29,0,0,0,0,26988
2004,"District 6",902,4629,5307,2506,1784,1234,1775,730,2710,1709,78,216,31,21,116,1537,221,33,83,255,43,38,18,96,0,0,0,0,32,0,0,0,0,26104
2004,"District 5",354,2624,5156,2665,1699,690,1448,311,2455,975,81,216,23,24,92,864,341,34,95,223,19,27,8,51,0,1,0,0,22,0,0,0,0,20498
2004,"District 4",665,4236,5402,2750,1982,993,1921,559,3423,1338,103,321,33,14,99,1516,148,41,108,302,41,25,15,75,0,0,0,1,28,0,0,1,0,26140
2004,"District 24",402,3357,2369,1052,702,654,1078,446,1977,965,56,69,31,13,39,715,157,22,63,111,48,15,6,39,0,1,0,0,9,0,0,0,0,14396
2004,"District 16",562,3472,2013,821,825,237,1412,635,2507,757,71,76,21,16,21,671,75,37,97,75,76,8,9,21,0,0,1,1,4,0,0,0,0,14521
2004,"District 3",1045,3158,5492,3103,1816,961,1807,481,2647,1424,75,187,26,26,107,1125,251,35,94,224,18,15,17,110,0,1,0,0,31,0,0,0,0,24276
2004,"District 20",296,2047,1382,545,451,238,729,334,1073,468,43,32,6,1,24,357,88,7,132,56,34,1,5,14,0,1,0,3,2,0,0,0,0,8369
2004,"District 17",307,3322,1971,770,656,412,950,393,1982,800,83,75,12,16,40,871,121,19,79,76,51,8,8,23,0,0,0,2,10,0,0,0,0,13057
2004,"District 9",561,4499,4396,2392,1508,733,1346,567,3135,1499,106,363,27,22,75,1348,577,58,170,164,42,20,14,50,0,0,1,0,24,0,0,0,0,23697
2004,"District 2",1070,4510,4750,3292,1511,1006,1322,564,2184,1197,80,170,23,30,117,1109,478,18,72,120,13,14,12,64,0,2,0,0,30,0,0,0,0,23758
2004,"District 19",857,6445,2635,1165,880,653,1183,1358,2318,1726,143,84,7,26,65,870,291,20,140,77,59,8,11,7,0,3,0,1,6,0,0,0,0,21038
2004,"District 1",2041,7115,1938,1147,778,312,972,1122,926,336,57,51,5,22,24,499,49,8,103,21,22,13,7,1,0,0,0,0,6,0,0,0,0,17575
2004,"District 15",402,2169,4623,5716,1310,705,1163,209,1666,630,49,296,20,31,75,651,152,38,75,132,30,11,6,78,0,0,0,0,21,0,0,0,0,20258
2004,"District 11",725,3310,5802,9085,1746,1076,1209,346,2390,814,66,329,25,51,84,1025,763,42,103,128,31,13,4,127,0,0,0,0,27,0,0,0,0,29321
2004,"District 22",371,3066,2817,1575,1018,493,1367,475,2002,753,66,162,39,10,58,749,17,33,85,197,26,11,9,25,0,0,0,0,13,0,0,0,0,15437
2004,"District 14",379,4996,2931,1486,1015,698,988,502,2202,1374,69,135,17,13,60,1080,667,36,106,121,86,12,9,16,0,1,1,0,17,0,0,0,0,19017
2004,"District 31",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2004,"District 21",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2004,"District 13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"District 23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"District 8",324,3449,3018,526,1180,769,1134,1091,2498,1474,57,167,16,42,81,1025,22,66,97,190,12,10,13,17,5,8,2,0,59,9,0,0,0,17361
2016,"District 10",226,1819,3044,855,989,630,925,501,1523,492,54,263,3,39,66,565,5,47,132,113,33,7,10,16,2,6,0,0,49,0,0,0,0,12414
2016,"District 12",244,4786,1996,372,820,552,631,941,1777,673,62,81,4,21,74,620,4,24,70,124,17,5,13,6,3,3,0,0,28,1,1,0,0,13953
2016,"District 18",323,6162,1452,143,444,381,387,1824,915,344,34,43,4,19,103,376,13,12,57,29,37,7,6,2,2,1,0,0,5,3,0,0,0,13128
2016,"District 7",351,1787,3472,1006,1273,716,1053,483,1551,824,41,374,13,103,69,516,28,39,113,114,3,4,11,35,0,1,0,0,86,5,2,0,0,14073
2016,"District 25",261,2844,2736,600,1046,578,1146,806,1772,860,56,206,13,52,79,888,80,52,59,157,6,15,5,10,4,4,0,0,38,1,0,0,0,14374
2016,"District 6",408,2899,3598,635,1325,872,1145,812,1958,1011,43,211,24,68,90,585,13,28,83,168,2,0,14,9,0,0,1,0,58,2,0,0,0,16062
2016,"District 5",280,1717,2631,523,1046,460,939,449,1574,664,36,279,10,64,85,436,29,42,70,111,4,3,10,5,0,2,0,0,44,1,1,0,0,11515
2016,"District 4",324,2301,3389,535,1460,623,1212,752,1906,938,40,238,14,71,71,602,6,27,105,182,7,6,10,3,0,2,0,0,41,0,1,0,0,14866
2016,"District 24",219,1774,1366,172,455,317,473,573,895,398,51,69,6,14,55,291,16,7,27,73,11,3,6,0,1,4,1,0,12,0,0,0,0,7289
